Fahrten,Namen
1028,S8 (Regionalverkehr Bern-Solothurn)
73,IR65 (BLS AG (bls))
70,IC6 (Schweizerische Bundesbahnen SBB)
62,10 (Städtische Verkehrsbetriebe Bern)
61,IR17 (BLS AG (bls))
52,S5 (BLS AG (bls))
32,IC61 (Schweizerische Bundesbahnen SBB)
29,RE1 (BLS AG (bls))
28,S6 (BLS AG (bls))
24,RE5 (Regionalverkehr Bern-Solothurn)
21,12 (Städtische Verkehrsbetriebe Bern)
19,1 (STI Bus AG)
19,7 (Städtische Verkehrsbetriebe Bern)
17,S44 (BLS AG (bls))
17,S7 (Regionalverkehr Bern-Solothurn)
15,IC1 (Schweizerische Bundesbahnen SBB)
13,RE2 (Transports publics fribourgeois)
12,9 (Städtische Verkehrsbetriebe Bern)
12,100 (PostAuto AG)
12,S41 (BLS AG (bls))
