Fahrten,Namen
469,Bern - Zollikofen
75,Thun - Zollikofen
68,Köniz - Zollikofen
61,Ittigen - Zollikofen
55,Biel/Bienne - Zollikofen
31,Burgdorf - Zollikofen
18,Steffisburg - Zollikofen
13,Jegenstorf - Zollikofen
12,Nidau - Zollikofen
12,Wohlen bei Bern - Zollikofen
11,Fraubrunnen - Zollikofen
11,Belp - Zollikofen
10,Spiez - Zollikofen
9,Fribourg - Zollikofen
9,Herzogenbuchsee - Zollikofen
9,Zollikofen - Zürich
8,Worb - Zollikofen
8,Muri bei Bern - Zollikofen
8,Olten - Zollikofen
7,Schwarzenburg - Zollikofen
