Fahrten,Namen
585,S8 (Regionalverkehr Bern-Solothurn)
311,38 (Autobusbetrieb RBS)
65,10 (Städtische Verkehrsbetriebe Bern)
30,12 (Städtische Verkehrsbetriebe Bern)
30,7 (Städtische Verkehrsbetriebe Bern)
28,S4 (BLS AG (bls))
28,17 (Städtische Verkehrsbetriebe Bern)
26,RE1 (BLS AG (bls))
18,8 (Städtische Verkehrsbetriebe Bern)
16,6 (Städtische Verkehrsbetriebe Bern)
12,465 (Busland AG)
7,IC61 (Schweizerische Bundesbahnen SBB)
6,11 (Städtische Verkehrsbetriebe Bern)
4,IR17 (BLS AG (bls))
3,5 (STI Bus AG)
3,S45 (BLS AG (bls))
3,9 (Städtische Verkehrsbetriebe Bern)
3,S2 (BLS AG (bls))
2,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
2,S3 (BLS AG (bls))
