Fahrten,Namen
246,S8 (Regionalverkehr Bern-Solothurn)
32,10 (Städtische Verkehrsbetriebe Bern)
17,7 (Städtische Verkehrsbetriebe Bern)
16,RE1 (BLS AG (bls))
16,17 (Städtische Verkehrsbetriebe Bern)
12,465 (Busland AG)
11,12 (Städtische Verkehrsbetriebe Bern)
5,8 (Städtische Verkehrsbetriebe Bern)
4,6 (Städtische Verkehrsbetriebe Bern)
3,IC61 (Schweizerische Bundesbahnen SBB)
2,5 (STI Bus AG)
2,11 (Städtische Verkehrsbetriebe Bern)
1,884 (Autobusbetrieb RBS)
1,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
1,IR17 (BLS AG (bls))
1,S52 (BLS AG (bls))
1,S2 (BLS AG (bls))
1,S3 (BLS AG (bls))
1,1 (STI Bus AG)
1,9 (Städtische Verkehrsbetriebe Bern)
