Fahrten,Namen
94,S8 (Regionalverkehr Bern-Solothurn)
14,RE1 (BLS AG (bls))
6,7 (Städtische Verkehrsbetriebe Bern)
6,17 (Städtische Verkehrsbetriebe Bern)
4,10 (Städtische Verkehrsbetriebe Bern)
3,IC61 (Schweizerische Bundesbahnen SBB)
2,12 (Städtische Verkehrsbetriebe Bern)
2,5 (STI Bus AG)
1,1 (STI Bus AG)
1,8 (Städtische Verkehrsbetriebe Bern)
0,6 (Städtische Verkehrsbetriebe Bern)
0,2 (STI Bus AG)
0,IR17 (BLS AG (bls))
0,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
0,9 (Städtische Verkehrsbetriebe Bern)
0,EC (Schweizerische Bundesbahnen SBB)
0,884 (Autobusbetrieb RBS)
0,S2 (BLS AG (bls))
0,IC6 (Schweizerische Bundesbahnen SBB)
0,S6 (BLS AG (bls))
