Fahrten,Namen
2702,RE5 (Regionalverkehr Bern-Solothurn)
291,20 (Städtische Verkehrsbetriebe Bern)
150,7 (Busbetrieb Solothurn und Umgebung)
145,5 (Busbetrieb Solothurn und Umgebung)
128,S8 (Regionalverkehr Bern-Solothurn)
127,S20 (Schweizerische Bundesbahnen SBB)
123,10 (Städtische Verkehrsbetriebe Bern)
123,2 (Busbetrieb Solothurn und Umgebung)
111,12 (Städtische Verkehrsbetriebe Bern)
105,8 (Städtische Verkehrsbetriebe Bern)
104,465 (Busland AG)
94,884 (Autobusbetrieb RBS)
86,S11 (Aare Seeland mobil (snb))
66,S2 (BLS AG (bls))
56,1 (Busbetrieb Solothurn und Umgebung)
55,7 (Städtische Verkehrsbetriebe Bern)
51,6 (Städtische Verkehrsbetriebe Bern)
43,S7 (Regionalverkehr Bern-Solothurn)
36,RE1 (BLS AG (bls))
33,S41 (BLS AG (bls))
