Fahrten,Namen
100,S8 (Regionalverkehr Bern-Solothurn)
13,7 (Städtische Verkehrsbetriebe Bern)
12,465 (Busland AG)
12,17 (Städtische Verkehrsbetriebe Bern)
10,10 (Städtische Verkehrsbetriebe Bern)
3,8 (Städtische Verkehrsbetriebe Bern)
2,12 (Städtische Verkehrsbetriebe Bern)
1,884 (Autobusbetrieb RBS)
1,3 (Städtische Verkehrsbetriebe Bern)
1,RE2 (Transports publics fribourgeois)
0,S1 (BLS AG (bls))
0,RE1 (BLS AG (bls))
0,106 (PostAuto AG)
0,363 (Autobusbetrieb RBS)
0,6 (Städtische Verkehrsbetriebe Bern)
0,S31 (BLS AG (bls))
0,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
0,100 (PostAuto AG)
0,S2 (BLS AG (bls))
0,9 (Städtische Verkehrsbetriebe Bern)
