Fahrten,Namen
1549,RE5 (Regionalverkehr Bern-Solothurn)
151,20 (Städtische Verkehrsbetriebe Bern)
146,7 (Busbetrieb Solothurn und Umgebung)
97,S20 (Schweizerische Bundesbahnen SBB)
87,5 (Busbetrieb Solothurn und Umgebung)
73,S11 (Aare Seeland mobil (snb))
73,12 (Städtische Verkehrsbetriebe Bern)
69,2 (Busbetrieb Solothurn und Umgebung)
53,8 (Städtische Verkehrsbetriebe Bern)
38,10 (Städtische Verkehrsbetriebe Bern)
32,6 (Städtische Verkehrsbetriebe Bern)
31,S8 (Regionalverkehr Bern-Solothurn)
21,8 (Autobusbetrieb RBS)
21,RE1 (BLS AG (bls))
20,884 (Autobusbetrieb RBS)
19,S41 (BLS AG (bls))
17,7 (Städtische Verkehrsbetriebe Bern)
17,4 (Busbetrieb Solothurn und Umgebung)
15,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
12,3 (Busbetrieb Solothurn und Umgebung)
