Fahrten,Namen
1797,RE5 (Regionalverkehr Bern-Solothurn)
194,20 (Städtische Verkehrsbetriebe Bern)
150,7 (Busbetrieb Solothurn und Umgebung)
145,5 (Busbetrieb Solothurn und Umgebung)
127,S20 (Schweizerische Bundesbahnen SBB)
123,2 (Busbetrieb Solothurn und Umgebung)
94,884 (Autobusbetrieb RBS)
86,S11 (Aare Seeland mobil (snb))
76,12 (Städtische Verkehrsbetriebe Bern)
66,8 (Städtische Verkehrsbetriebe Bern)
64,10 (Städtische Verkehrsbetriebe Bern)
56,1 (Busbetrieb Solothurn und Umgebung)
43,S7 (Regionalverkehr Bern-Solothurn)
39,S2 (BLS AG (bls))
34,6 (Städtische Verkehrsbetriebe Bern)
33,S41 (BLS AG (bls))
26,7 (Städtische Verkehrsbetriebe Bern)
22,S31 (BLS AG (bls))
21,RE1 (BLS AG (bls))
21,8 (Autobusbetrieb RBS)
