Fahrten,Namen
197,Bern - Mattstetten
32,Ittigen - Mattstetten
27,Mattstetten - Thun
19,Köniz - Mattstetten
19,Jegenstorf - Mattstetten
16,Bätterkinden - Mattstetten
14,Fraubrunnen - Mattstetten
11,Mattstetten - Muri bei Bern
8,Mattstetten - Münsingen
5,Mattstetten - Solothurn
5,Mattstetten - Steffisburg
4,Langnau im Emmental - Mattstetten
4,Mattstetten - Olten
4,Düdingen - Mattstetten
3,Moosseedorf - Solothurn
3,Freimettigen - Mattstetten
3,Hilterfingen - Mattstetten
3,Laupen - Mattstetten
3,Lohn-Ammannsegg - Mattstetten
2,Mattstetten - Schwarzenburg
