Fahrten,Namen
674,Bern - Mattstetten
129,Ittigen - Mattstetten
114,Mattstetten - Zollikofen
110,Mattstetten - Rapperswil (BE)
78,Jegenstorf - Mattstetten
52,Mattstetten - Ostermundigen
38,Fraubrunnen - Mattstetten
29,Mattstetten - Thun
28,Jegenstorf - Moosseedorf
25,Mattstetten - Schüpfen
21,Biel/Bienne - Mattstetten
19,Köniz - Mattstetten
19,Bolligen - Mattstetten
19,Krauchthal - Mattstetten
17,Lyssach - Mattstetten
17,Bätterkinden - Mattstetten
16,Lyssach - Moosseedorf
14,Mattstetten - Münsingen
14,Kirchberg (BE) - Moosseedorf
13,Mattstetten - Muri bei Bern
