Fahrten,Namen
1251,RE5 (Regionalverkehr Bern-Solothurn)
146,7 (Busbetrieb Solothurn und Umgebung)
117,20 (Städtische Verkehrsbetriebe Bern)
102,5 (Busbetrieb Solothurn und Umgebung)
98,S20 (Schweizerische Bundesbahnen SBB)
73,S11 (Aare Seeland mobil (snb))
71,2 (Busbetrieb Solothurn und Umgebung)
59,12 (Städtische Verkehrsbetriebe Bern)
53,8 (Städtische Verkehrsbetriebe Bern)
28,10 (Städtische Verkehrsbetriebe Bern)
28,6 (Städtische Verkehrsbetriebe Bern)
22,S2 (BLS AG (bls))
21,8 (Autobusbetrieb RBS)
19,S41 (BLS AG (bls))
18,7 (Städtische Verkehrsbetriebe Bern)
18,RE1 (BLS AG (bls))
17,4 (Busbetrieb Solothurn und Umgebung)
14,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
12,9 (Städtische Verkehrsbetriebe Bern)
7,S1 (BLS AG (bls))
