Fahrten,Namen
2706,S8 (Regionalverkehr Bern-Solothurn)
310,38 (Autobusbetrieb RBS)
267,10 (Städtische Verkehrsbetriebe Bern)
239,M11 (Busbetrieb Solothurn und Umgebung)
205,7 (Städtische Verkehrsbetriebe Bern)
196,8 (Städtische Verkehrsbetriebe Bern)
158,12 (Städtische Verkehrsbetriebe Bern)
132,17 (Städtische Verkehrsbetriebe Bern)
130,RE1 (BLS AG (bls))
83,IC61 (Schweizerische Bundesbahnen SBB)
71,6 (Städtische Verkehrsbetriebe Bern)
60,S2 (BLS AG (bls))
46,IR17 (BLS AG (bls))
45,9 (Städtische Verkehrsbetriebe Bern)
37,S5 (BLS AG (bls))
36,S1 (BLS AG (bls))
34,S4 (BLS AG (bls))
28,107 (PostAuto AG)
28,IC6 (Schweizerische Bundesbahnen SBB)
26,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
