Fahrten,Namen
768,S8 (Regionalverkehr Bern-Solothurn)
85,RE1 (BLS AG (bls))
61,IC61 (Schweizerische Bundesbahnen SBB)
39,7 (Städtische Verkehrsbetriebe Bern)
28,17 (Städtische Verkehrsbetriebe Bern)
27,10 (Städtische Verkehrsbetriebe Bern)
17,12 (Städtische Verkehrsbetriebe Bern)
16,IR17 (BLS AG (bls))
16,IC6 (Schweizerische Bundesbahnen SBB)
16,S6 (BLS AG (bls))
15,2 (STI Bus AG)
13,5 (STI Bus AG)
13,1 (STI Bus AG)
12,107 (PostAuto AG)
11,S5 (BLS AG (bls))
10,8 (Städtische Verkehrsbetriebe Bern)
10,S2 (BLS AG (bls))
10,3 (STI Bus AG)
9,IC1 (Schweizerische Bundesbahnen SBB)
9,36 (Autobusbetrieb RBS)
