Fahrten,Namen
850,Bern - Mattstetten
591,Bern - Moosseedorf
246,Bern - Zollikofen
79,Bern - Fraubrunnen
75,Köniz - Zollikofen
48,Thun - Zollikofen
47,Mattstetten - Ostermundigen
46,Moosseedorf - Ostermundigen
40,Bern - Bäriswil
37,Mattstetten - Thun
36,Bern - Rapperswil (BE)
33,Köniz - Moosseedorf
27,Münsingen - Zollikofen
26,Köniz - Mattstetten
21,Mattstetten - Münsingen
16,Bremgarten bei Bern - Moosseedorf
14,Moosseedorf - Wohlen bei Bern
12,Bern - Lyssach
12,Steffisburg - Zollikofen
11,Moosseedorf - Muri bei Bern
