Fahrten,Namen
424,S7 (Regionalverkehr Bern-Solothurn)
20,791 (PostAuto AG)
16,8 (Städtische Verkehrsbetriebe Bern)
14,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
12,20 (Städtische Verkehrsbetriebe Bern)
12,S4 (BLS AG (bls))
12,9 (Städtische Verkehrsbetriebe Bern)
12,12 (Städtische Verkehrsbetriebe Bern)
10,S44 (BLS AG (bls))
10,S3 (BLS AG (bls))
8,10 (Städtische Verkehrsbetriebe Bern)
7,IR35 (Schweizerische Bundesbahnen SBB)
7,7 (Städtische Verkehrsbetriebe Bern)
6,472 (PostAuto AG)
5,S41 (BLS AG (bls))
5,S31 (BLS AG (bls))
4,792 (PostAuto AG)
3,IR17 (BLS AG (bls))
3,S6 (BLS AG (bls))
2,160 (Städtische Verkehrsbetriebe Bern)
