Fahrten,Namen
175,S7 (Regionalverkehr Bern-Solothurn)
9,40 (Autobusbetrieb RBS)
7,36 (Autobusbetrieb RBS)
7,S8 (Regionalverkehr Bern-Solothurn)
5,10 (Städtische Verkehrsbetriebe Bern)
4,S9 (Regionalverkehr Bern-Solothurn)
3,EC (Schweizerische Bundesbahnen SBB)
3,46 (Autobusbetrieb RBS)
2,20 (Städtische Verkehrsbetriebe Bern)
2,44 (Autobusbetrieb RBS)
2,7 (Städtische Verkehrsbetriebe Bern)
2,21 (Städtische Verkehrsbetriebe Bern)
2,S52 (BLS AG (bls))
1,IR65 (BLS AG (bls))
1,S3 (BLS AG (bls))
1,34 (Autobusbetrieb RBS)
1,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
1,S31 (BLS AG (bls))
1,38 (Autobusbetrieb RBS)
1,IC1 (Schweizerische Bundesbahnen SBB)
