Fahrten,Namen
8478,S8 (Regionalverkehr Bern-Solothurn)
1050,38 (Autobusbetrieb RBS)
624,36 (Autobusbetrieb RBS)
587,S31 (BLS AG (bls))
560,10 (Städtische Verkehrsbetriebe Bern)
435,41 (Autobusbetrieb RBS)
409,S7 (Regionalverkehr Bern-Solothurn)
395,S3 (BLS AG (bls))
366,M11 (Busbetrieb Solothurn und Umgebung)
294,8 (Städtische Verkehrsbetriebe Bern)
237,12 (Städtische Verkehrsbetriebe Bern)
183,S2 (BLS AG (bls))
167,6 (Städtische Verkehrsbetriebe Bern)
158,S4 (BLS AG (bls))
146,465 (Busland AG)
132,7 (Städtische Verkehrsbetriebe Bern)
129,451 (PostAuto AG)
122,RE5 (Regionalverkehr Bern-Solothurn)
117,RE1 (BLS AG (bls))
114,107 (PostAuto AG)
