Fahrten,Namen
1951,S8 (Regionalverkehr Bern-Solothurn)
88,38 (Autobusbetrieb RBS)
82,S3 (BLS AG (bls))
80,RE5 (Regionalverkehr Bern-Solothurn)
76,10 (Städtische Verkehrsbetriebe Bern)
62,RE1 (BLS AG (bls))
56,S2 (BLS AG (bls))
54,S31 (BLS AG (bls))
52,12 (Städtische Verkehrsbetriebe Bern)
48,EC (Schweizerische Bundesbahnen SBB)
40,7 (Städtische Verkehrsbetriebe Bern)
37,IC61 (Schweizerische Bundesbahnen SBB)
37,S7 (Regionalverkehr Bern-Solothurn)
33,8 (Städtische Verkehrsbetriebe Bern)
28,17 (Städtische Verkehrsbetriebe Bern)
26,36 (Autobusbetrieb RBS)
21,107 (PostAuto AG)
21,S11 (BLS AG (bls))
21,41 (Autobusbetrieb RBS)
19,9 (Städtische Verkehrsbetriebe Bern)
