Fahrten,Namen
30,Bern - Fraubrunnen
12,Fraubrunnen - Solothurn
9,Bätterkinden - Jegenstorf
8,Jegenstorf - Utzenstorf
2,Fraubrunnen - Zuchwil
2,Biberist - Fraubrunnen
2,Bätterkinden - Ostermundigen
2,Jegenstorf - Koppigen
1,Bätterkinden - Ittigen
1,Derendingen - Fraubrunnen
1,Fraubrunnen - Lohn-Ammannsegg
1,Biel/Bienne - Fraubrunnen
1,Fraubrunnen - Langendorf
1,Fraubrunnen - Gerlafingen
1,Buchegg - Mattstetten
1,Fraubrunnen - Jegenstorf
1,Bätterkinden - Zollikofen
1,Fraubrunnen - Nidau
0,Bätterkinden - Moosseedorf
0,Buchegg - Jegenstorf
