Fahrten,Namen
37,Bern - Fraubrunnen
31,Fraubrunnen - Kirchberg (BE)
25,Fraubrunnen - Utzenstorf
22,Jegenstorf - Kirchberg (BE)
19,Bätterkinden - Fraubrunnen
14,Grossaffoltern - Mattstetten
14,Bätterkinden - Jegenstorf
13,Burgdorf - Fraubrunnen
12,Fraubrunnen - Solothurn
11,Mattstetten - Utzenstorf
10,Jegenstorf - Utzenstorf
10,Koppigen - Lyssach
7,Koppigen - Mattstetten
7,Fraubrunnen - Mattstetten
7,Grossaffoltern - Rapperswil (BE)
6,Fraubrunnen - Koppigen
6,Moosseedorf - Utzenstorf
6,Grossaffoltern - Zollikofen
5,Grossaffoltern - Moosseedorf
4,Jegenstorf - Koppigen
