Fahrten,Namen
1703,Bern - Mattstetten
1652,Bern - Zollikofen
1001,Bern - Moosseedorf
546,Bern - Jegenstorf
186,Köniz - Zollikofen
160,Bern - Fraubrunnen
116,Mattstetten - Ostermundigen
105,Ittigen - Mattstetten
87,Ittigen - Zollikofen
87,Thun - Zollikofen
81,Köniz - Mattstetten
80,Moosseedorf - Ostermundigen
75,Ostermundigen - Zollikofen
71,Bern - Rapperswil (BE)
70,Mattstetten - Thun
66,Bern - Bäriswil
64,Ittigen - Rapperswil (BE)
63,Muri bei Bern - Zollikofen
56,Biel/Bienne - Zollikofen
55,Köniz - Moosseedorf
