Fahrten,Namen
965,S8 (Regionalverkehr Bern-Solothurn)
183,RE5 (Regionalverkehr Bern-Solothurn)
45,10 (Städtische Verkehrsbetriebe Bern)
29,S2 (BLS AG (bls))
24,12 (Städtische Verkehrsbetriebe Bern)
23,8 (Städtische Verkehrsbetriebe Bern)
21,S7 (Regionalverkehr Bern-Solothurn)
17,41 (Autobusbetrieb RBS)
14,S20 (Schweizerische Bundesbahnen SBB)
14,EC (Schweizerische Bundesbahnen SBB)
13,RE1 (BLS AG (bls))
9,6 (Städtische Verkehrsbetriebe Bern)
9,884 (Autobusbetrieb RBS)
9,107 (PostAuto AG)
9,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
8,7 (Busbetrieb Solothurn und Umgebung)
6,7 (Städtische Verkehrsbetriebe Bern)
6,9 (Städtische Verkehrsbetriebe Bern)
6,5 (Busbetrieb Solothurn und Umgebung)
6,17 (Städtische Verkehrsbetriebe Bern)
