Fahrten,Namen
378,Bern - Jegenstorf
142,Bern - Fraubrunnen
45,Ittigen - Jegenstorf
31,Jegenstorf - Köniz
26,Bätterkinden - Mattstetten
22,Jegenstorf - Thun
21,Jegenstorf - Mattstetten
19,Fraubrunnen - Jegenstorf
18,Jegenstorf - Zollikofen
17,Mattstetten - Solothurn
16,Fraubrunnen - Mattstetten
15,Fraubrunnen - Zollikofen
13,Fraubrunnen - Ittigen
12,Solothurn - Zollikofen
10,Bätterkinden - Zollikofen
9,Bätterkinden - Jegenstorf
8,Jegenstorf - Utzenstorf
7,Fraubrunnen - Moosseedorf
6,Ittigen - Solothurn
6,Ittigen - Zuchwil
