Fahrten,Namen
546,Bern - Jegenstorf
233,Jegenstorf - Mattstetten
164,Bern - Fraubrunnen
110,Ittigen - Jegenstorf
106,Jegenstorf - Rapperswil (BE)
103,Fraubrunnen - Mattstetten
101,Burgdorf - Jegenstorf
93,Jegenstorf - Zollikofen
70,Fraubrunnen - Jegenstorf
59,Jegenstorf - Moosseedorf
52,Lyssach - Mattstetten
46,Jegenstorf - Kirchberg (BE)
36,Jegenstorf - Ostermundigen
35,Burgdorf - Fraubrunnen
34,Lyssach - Moosseedorf
34,Jegenstorf - Lyssach
33,Bern - Lyssach
31,Jegenstorf - Köniz
31,Bätterkinden - Mattstetten
29,Fraubrunnen - Zollikofen
