Fahrten,Namen
600,S7 (Regionalverkehr Bern-Solothurn)
25,S8 (Regionalverkehr Bern-Solothurn)
15,12 (Städtische Verkehrsbetriebe Bern)
13,36 (Autobusbetrieb RBS)
11,791 (PostAuto AG)
11,S2 (BLS AG (bls))
11,40 (Autobusbetrieb RBS)
8,8 (Städtische Verkehrsbetriebe Bern)
8,794 (PostAuto AG)
6,20 (Städtische Verkehrsbetriebe Bern)
6,S9 (Regionalverkehr Bern-Solothurn)
6,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
5,10 (Städtische Verkehrsbetriebe Bern)
5,EC (Schweizerische Bundesbahnen SBB)
5,S31 (BLS AG (bls))
4,7 (Städtische Verkehrsbetriebe Bern)
3,46 (Autobusbetrieb RBS)
3,IR65 (BLS AG (bls))
3,S1 (BLS AG (bls))
3,S6 (BLS AG (bls))
