Fahrten,Namen
756,S8 (Regionalverkehr Bern-Solothurn)
342,465 (Busland AG)
165,884 (Autobusbetrieb RBS)
65,363 (Autobusbetrieb RBS)
63,S44 (BLS AG (bls))
43,RE5 (Regionalverkehr Bern-Solothurn)
34,38 (Autobusbetrieb RBS)
33,S31 (BLS AG (bls))
29,41 (Autobusbetrieb RBS)
18,S7 (Regionalverkehr Bern-Solothurn)
16,882 (PostAuto AG)
16,36 (Autobusbetrieb RBS)
13,10 (Städtische Verkehrsbetriebe Bern)
10,17 (Städtische Verkehrsbetriebe Bern)
10,7 (Städtische Verkehrsbetriebe Bern)
10,S2 (BLS AG (bls))
7,8 (Städtische Verkehrsbetriebe Bern)
7,S3 (BLS AG (bls))
7,466 (Busland AG)
7,S11 (BLS AG (bls))
