Fahrten,Namen
91,S8 (Regionalverkehr Bern-Solothurn)
16,RE5 (Regionalverkehr Bern-Solothurn)
10,884 (Autobusbetrieb RBS)
4,5 (Busbetrieb Solothurn und Umgebung)
3,7 (Städtische Verkehrsbetriebe Bern)
3,17 (Städtische Verkehrsbetriebe Bern)
3,10 (Städtische Verkehrsbetriebe Bern)
2,882 (PostAuto AG)
2,41 (Autobusbetrieb RBS)
1,IC5 (Schweizerische Bundesbahnen SBB)
1,S3 (BLS AG (bls))
1,S7 (Regionalverkehr Bern-Solothurn)
1,36 (Autobusbetrieb RBS)
1,S11 (BLS AG (bls))
1,S9 (Regionalverkehr Bern-Solothurn)
1,465 (Busland AG)
1,S21 (Schweizerische Bundesbahnen SBB)
1,IC61 (Schweizerische Bundesbahnen SBB)
1,363 (Autobusbetrieb RBS)
0,S44 (BLS AG (bls))
