Fahrten,Namen
31,Bern - Fraubrunnen
13,Fraubrunnen - Jegenstorf
9,Bätterkinden - Jegenstorf
8,Jegenstorf - Utzenstorf
7,Fraubrunnen - Solothurn
3,Fraubrunnen - Ittigen
2,Biberist - Fraubrunnen
2,Bätterkinden - Ostermundigen
2,Jegenstorf - Koppigen
2,Fraubrunnen - Zuchwil
1,Bätterkinden - Ittigen
1,Fraubrunnen - Worb
1,Fraubrunnen - Muri bei Bern
1,Derendingen - Fraubrunnen
1,Fraubrunnen - Lohn-Ammannsegg
1,Biel/Bienne - Fraubrunnen
1,Fraubrunnen - Langendorf
1,Fraubrunnen - Gerlafingen
1,Buchegg - Mattstetten
1,Beatenberg - Lyssach
