Fahrten,Namen
2479,S8 (Regionalverkehr Bern-Solothurn)
138,10 (Städtische Verkehrsbetriebe Bern)
120,IR65 (BLS AG (bls))
107,IC61 (Schweizerische Bundesbahnen SBB)
91,RE1 (BLS AG (bls))
79,IC6 (Schweizerische Bundesbahnen SBB)
75,IR17 (BLS AG (bls))
73,38 (Autobusbetrieb RBS)
73,12 (Städtische Verkehrsbetriebe Bern)
60,S5 (BLS AG (bls))
59,7 (Städtische Verkehrsbetriebe Bern)
56,S2 (BLS AG (bls))
48,EC (Schweizerische Bundesbahnen SBB)
42,S6 (BLS AG (bls))
37,1 (STI Bus AG)
33,8 (Städtische Verkehrsbetriebe Bern)
32,IC1 (Schweizerische Bundesbahnen SBB)
31,9 (Städtische Verkehrsbetriebe Bern)
30,IR35 (Schweizerische Bundesbahnen SBB)
30,5 (STI Bus AG)
