Fahrten,Namen
48,Bern - Fraubrunnen
12,Fraubrunnen - Solothurn
9,Bätterkinden - Jegenstorf
8,Jegenstorf - Utzenstorf
4,Fraubrunnen - Jegenstorf
2,Fraubrunnen - Zuchwil
2,Biberist - Fraubrunnen
2,Fraubrunnen - Ittigen
2,Bätterkinden - Ostermundigen
2,Jegenstorf - Koppigen
1,Bätterkinden - Ittigen
1,Fraubrunnen - Worb
1,Derendingen - Fraubrunnen
1,Fraubrunnen - Lohn-Ammannsegg
1,Biel/Bienne - Fraubrunnen
1,Fraubrunnen - Langendorf
1,Fraubrunnen - Gerlafingen
1,Buchegg - Mattstetten
1,Bätterkinden - Zollikofen
1,Fraubrunnen - Nidau
