Fahrten,Namen
56,Bern - Fraubrunnen
31,Fraubrunnen - Kirchberg (BE)
25,Fraubrunnen - Utzenstorf
22,Jegenstorf - Kirchberg (BE)
21,Bätterkinden - Fraubrunnen
18,Fraubrunnen - Mattstetten
14,Grossaffoltern - Mattstetten
14,Bätterkinden - Jegenstorf
13,Burgdorf - Fraubrunnen
13,Fraubrunnen - Jegenstorf
12,Fraubrunnen - Solothurn
11,Mattstetten - Utzenstorf
10,Jegenstorf - Utzenstorf
10,Koppigen - Lyssach
7,Koppigen - Mattstetten
7,Grossaffoltern - Rapperswil (BE)
6,Fraubrunnen - Koppigen
6,Moosseedorf - Utzenstorf
6,Fraubrunnen - Rapperswil (BE)
6,Grossaffoltern - Zollikofen
