Fahrten,Namen
35,Bern - Fraubrunnen
9,Bätterkinden - Jegenstorf
9,Fraubrunnen - Solothurn
8,Jegenstorf - Utzenstorf
5,Fraubrunnen - Jegenstorf
2,Biberist - Fraubrunnen
2,Fraubrunnen - Ittigen
2,Bätterkinden - Ostermundigen
2,Jegenstorf - Koppigen
2,Fraubrunnen - Zuchwil
1,Bätterkinden - Ittigen
1,Fraubrunnen - Worb
1,Derendingen - Fraubrunnen
1,Fraubrunnen - Lohn-Ammannsegg
1,Biel/Bienne - Fraubrunnen
1,Fraubrunnen - Langendorf
1,Fraubrunnen - Gerlafingen
1,Buchegg - Mattstetten
1,Bätterkinden - Zollikofen
1,Fraubrunnen - Nidau
