Fahrten,Namen
41,Bern - Fraubrunnen
27,Fraubrunnen - Kirchberg (BE)
22,Fraubrunnen - Mattstetten
22,Fraubrunnen - Utzenstorf
22,Jegenstorf - Kirchberg (BE)
20,Bätterkinden - Fraubrunnen
18,Fraubrunnen - Jegenstorf
14,Grossaffoltern - Mattstetten
14,Bätterkinden - Jegenstorf
11,Mattstetten - Utzenstorf
10,Jegenstorf - Utzenstorf
10,Koppigen - Lyssach
9,Fraubrunnen - Solothurn
7,Koppigen - Mattstetten
7,Grossaffoltern - Rapperswil (BE)
6,Fraubrunnen - Koppigen
6,Fraubrunnen - Rapperswil (BE)
6,Moosseedorf - Utzenstorf
6,Grossaffoltern - Zollikofen
5,Burgdorf - Fraubrunnen
