Fahrten,Namen
1818,S8 (Regionalverkehr Bern-Solothurn)
96,RE5 (Regionalverkehr Bern-Solothurn)
88,38 (Autobusbetrieb RBS)
76,10 (Städtische Verkehrsbetriebe Bern)
56,S2 (BLS AG (bls))
54,RE1 (BLS AG (bls))
52,12 (Städtische Verkehrsbetriebe Bern)
48,EC (Schweizerische Bundesbahnen SBB)
37,S7 (Regionalverkehr Bern-Solothurn)
35,IC61 (Schweizerische Bundesbahnen SBB)
33,8 (Städtische Verkehrsbetriebe Bern)
31,7 (Städtische Verkehrsbetriebe Bern)
28,17 (Städtische Verkehrsbetriebe Bern)
27,S3 (BLS AG (bls))
21,S11 (BLS AG (bls))
21,41 (Autobusbetrieb RBS)
19,9 (Städtische Verkehrsbetriebe Bern)
18,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
17,IC1 (Schweizerische Bundesbahnen SBB)
14,RE7 (BLS AG (bls))
