Fahrten,Namen
1917,Bern - Mattstetten
1104,Bern - Moosseedorf
546,Bern - Jegenstorf
320,Ittigen - Mattstetten
301,Mattstetten - Rapperswil (BE)
281,Mattstetten - Zollikofen
164,Bern - Fraubrunnen
154,Mattstetten - Ostermundigen
153,Moosseedorf - Rapperswil (BE)
149,Moosseedorf - Zollikofen
139,Ittigen - Moosseedorf
110,Ittigen - Jegenstorf
106,Jegenstorf - Rapperswil (BE)
100,Moosseedorf - Ostermundigen
93,Jegenstorf - Zollikofen
81,Köniz - Mattstetten
78,Bern - Bäriswil
70,Mattstetten - Thun
65,Biel/Bienne - Mattstetten
61,Mattstetten - Schüpfen
