Fahrten,Namen
5188,S8 (Regionalverkehr Bern-Solothurn)
1055,38 (Autobusbetrieb RBS)
344,S31 (BLS AG (bls))
317,36 (Autobusbetrieb RBS)
292,10 (Städtische Verkehrsbetriebe Bern)
290,41 (Autobusbetrieb RBS)
273,RE5 (Regionalverkehr Bern-Solothurn)
222,S7 (Regionalverkehr Bern-Solothurn)
208,465 (Busland AG)
197,S3 (BLS AG (bls))
136,8 (Städtische Verkehrsbetriebe Bern)
135,12 (Städtische Verkehrsbetriebe Bern)
116,S4 (BLS AG (bls))
93,S2 (BLS AG (bls))
86,6 (Städtische Verkehrsbetriebe Bern)
86,871 (Autobusbetrieb RBS)
73,7 (Städtische Verkehrsbetriebe Bern)
71,451 (PostAuto AG)
71,S11 (BLS AG (bls))
69,RE1 (BLS AG (bls))
