Fahrten,Namen
3115,RE5 (Regionalverkehr Bern-Solothurn)
451,S20 (Schweizerische Bundesbahnen SBB)
210,5 (Busbetrieb Solothurn und Umgebung)
176,7 (Busbetrieb Solothurn und Umgebung)
176,20 (Städtische Verkehrsbetriebe Bern)
158,2 (Busbetrieb Solothurn und Umgebung)
138,12 (Städtische Verkehrsbetriebe Bern)
135,3 (Busbetrieb Solothurn und Umgebung)
135,S8 (Regionalverkehr Bern-Solothurn)
95,S11 (Aare Seeland mobil (snb))
81,8 (Städtische Verkehrsbetriebe Bern)
70,1 (Busbetrieb Solothurn und Umgebung)
52,10 (Städtische Verkehrsbetriebe Bern)
51,21 (Busbetrieb Grenchen und Umgebung)
48,9 (Städtische Verkehrsbetriebe Bern)
40,S7 (Regionalverkehr Bern-Solothurn)
34,19 (Städtische Verkehrsbetriebe Bern)
34,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
33,6 (Städtische Verkehrsbetriebe Bern)
32,IC5 (Schweizerische Bundesbahnen SBB)
