Fahrten,Namen
3741,S7 (Regionalverkehr Bern-Solothurn)
393,44 (Autobusbetrieb RBS)
321,781 (PostAuto AG)
239,6 (Städtische Verkehrsbetriebe Bern)
204,40 (Autobusbetrieb RBS)
131,795 (PostAuto AG)
113,S8 (Regionalverkehr Bern-Solothurn)
99,10 (Städtische Verkehrsbetriebe Bern)
86,8 (Städtische Verkehrsbetriebe Bern)
79,7 (Städtische Verkehrsbetriebe Bern)
77,20 (Städtische Verkehrsbetriebe Bern)
69,S4 (BLS AG (bls))
60,791 (PostAuto AG)
58,9 (Städtische Verkehrsbetriebe Bern)
51,S3 (BLS AG (bls))
51,36 (Autobusbetrieb RBS)
50,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
47,S2 (BLS AG (bls))
43,794 (PostAuto AG)
43,451 (PostAuto AG)
