Fahrten,Namen
3821,RE5 (Regionalverkehr Bern-Solothurn)
356,S20 (Schweizerische Bundesbahnen SBB)
239,20 (Städtische Verkehrsbetriebe Bern)
184,12 (Städtische Verkehrsbetriebe Bern)
183,5 (Busbetrieb Solothurn und Umgebung)
164,7 (Busbetrieb Solothurn und Umgebung)
148,2 (Busbetrieb Solothurn und Umgebung)
132,3 (Busbetrieb Solothurn und Umgebung)
120,8 (Städtische Verkehrsbetriebe Bern)
85,S11 (Aare Seeland mobil (snb))
83,10 (Städtische Verkehrsbetriebe Bern)
75,884 (Autobusbetrieb RBS)
72,9 (Städtische Verkehrsbetriebe Bern)
68,1 (Busbetrieb Solothurn und Umgebung)
62,S7 (Regionalverkehr Bern-Solothurn)
52,6 (Städtische Verkehrsbetriebe Bern)
50,21 (Busbetrieb Grenchen und Umgebung)
48,7 (Städtische Verkehrsbetriebe Bern)
48,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
47,S2 (BLS AG (bls))
