Fahrten,Namen
5215,RE5 (Regionalverkehr Bern-Solothurn)
612,S20 (Schweizerische Bundesbahnen SBB)
449,S8 (Regionalverkehr Bern-Solothurn)
406,5 (Busbetrieb Solothurn und Umgebung)
376,2 (Busbetrieb Solothurn und Umgebung)
366,884 (Autobusbetrieb RBS)
281,20 (Städtische Verkehrsbetriebe Bern)
252,1 (Busbetrieb Solothurn und Umgebung)
212,7 (Busbetrieb Solothurn und Umgebung)
207,12 (Städtische Verkehrsbetriebe Bern)
179,465 (Busland AG)
174,882 (PostAuto AG)
169,3 (Busbetrieb Solothurn und Umgebung)
137,S11 (Aare Seeland mobil (snb))
130,363 (Autobusbetrieb RBS)
123,10 (Städtische Verkehrsbetriebe Bern)
116,S7 (Regionalverkehr Bern-Solothurn)
114,8 (Städtische Verkehrsbetriebe Bern)
85,IC5 (Schweizerische Bundesbahnen SBB)
82,9 (Städtische Verkehrsbetriebe Bern)
