Fahrten,Namen
5604,RE5 (Regionalverkehr Bern-Solothurn)
519,S20 (Schweizerische Bundesbahnen SBB)
514,S8 (Regionalverkehr Bern-Solothurn)
390,20 (Städtische Verkehrsbetriebe Bern)
310,2 (Busbetrieb Solothurn und Umgebung)
294,5 (Busbetrieb Solothurn und Umgebung)
248,12 (Städtische Verkehrsbetriebe Bern)
200,1 (Busbetrieb Solothurn und Umgebung)
184,884 (Autobusbetrieb RBS)
181,10 (Städtische Verkehrsbetriebe Bern)
179,7 (Busbetrieb Solothurn und Umgebung)
157,8 (Städtische Verkehrsbetriebe Bern)
149,3 (Busbetrieb Solothurn und Umgebung)
133,S7 (Regionalverkehr Bern-Solothurn)
124,S11 (Aare Seeland mobil (snb))
97,9 (Städtische Verkehrsbetriebe Bern)
92,465 (Busland AG)
84,363 (Autobusbetrieb RBS)
80,S2 (BLS AG (bls))
72,7 (Städtische Verkehrsbetriebe Bern)
