Fahrten,Namen
1907,S8 (Regionalverkehr Bern-Solothurn)
235,10 (Städtische Verkehrsbetriebe Bern)
107,S5 (BLS AG (bls))
103,7 (Städtische Verkehrsbetriebe Bern)
82,12 (Städtische Verkehrsbetriebe Bern)
79,IR17 (BLS AG (bls))
78,IR65 (BLS AG (bls))
77,6 (Städtische Verkehrsbetriebe Bern)
66,IC6 (Schweizerische Bundesbahnen SBB)
40,S6 (BLS AG (bls))
38,102 (PostAuto AG)
35,8 (Städtische Verkehrsbetriebe Bern)
29,100 (PostAuto AG)
22,S1 (BLS AG (bls))
21,9 (Städtische Verkehrsbetriebe Bern)
18,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
16,S41 (BLS AG (bls))
16,19 (Städtische Verkehrsbetriebe Bern)
16,S44 (BLS AG (bls))
15,IC1 (Schweizerische Bundesbahnen SBB)
