Fahrten,Namen
811,S8 (Regionalverkehr Bern-Solothurn)
73,IR65 (BLS AG (bls))
61,IC6 (Schweizerische Bundesbahnen SBB)
54,IR17 (BLS AG (bls))
53,10 (Städtische Verkehrsbetriebe Bern)
49,S5 (BLS AG (bls))
21,12 (Städtische Verkehrsbetriebe Bern)
21,S6 (BLS AG (bls))
19,7 (Städtische Verkehrsbetriebe Bern)
15,S44 (BLS AG (bls))
14,IC1 (Schweizerische Bundesbahnen SBB)
13,RE2 (Transports publics fribourgeois)
12,9 (Städtische Verkehrsbetriebe Bern)
12,100 (PostAuto AG)
12,1 (STI Bus AG)
12,S41 (BLS AG (bls))
9,6 (Städtische Verkehrsbetriebe Bern)
9,S1 (BLS AG (bls))
8,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
8,6 (Verkehrsbetriebe Biel)
