Fahrten,Namen
1291,Bern - Zollikofen
103,Köniz - Zollikofen
70,Ostermundigen - Zollikofen
62,Muri bei Bern - Zollikofen
56,Biel/Bienne - Zollikofen
42,Burgdorf - Zollikofen
39,Thun - Zollikofen
26,Wohlen bei Bern - Zollikofen
14,Worb - Zollikofen
13,Nidau - Zollikofen
11,Belp - Zollikofen
11,Steffisburg - Zollikofen
10,Kirchberg (BE) - Zollikofen
9,Fribourg - Zollikofen
9,Kirchlindach - Zollikofen
8,Zollikofen - Zürich
8,Basel - Zollikofen
8,Olten - Zollikofen
7,Meikirch - Zollikofen
6,Aarberg - Zollikofen
