Fahrten,Namen
513,S8 (Regionalverkehr Bern-Solothurn)
354,38 (Autobusbetrieb RBS)
62,10 (Städtische Verkehrsbetriebe Bern)
29,8 (Städtische Verkehrsbetriebe Bern)
22,12 (Städtische Verkehrsbetriebe Bern)
22,20 (Städtische Verkehrsbetriebe Bern)
21,S2 (BLS AG (bls))
18,6 (Städtische Verkehrsbetriebe Bern)
14,IR65 (BLS AG (bls))
12,S4 (BLS AG (bls))
11,EC (Schweizerische Bundesbahnen SBB)
8,RE1 (BLS AG (bls))
6,S3 (BLS AG (bls))
5,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
5,S6 (BLS AG (bls))
4,7 (Städtische Verkehrsbetriebe Bern)
4,9 (Städtische Verkehrsbetriebe Bern)
4,19 (Städtische Verkehrsbetriebe Bern)
4,104 (PostAuto AG)
4,IR35 (Schweizerische Bundesbahnen SBB)
