Fahrten,Namen
70,S8 (Regionalverkehr Bern-Solothurn)
68,38 (Autobusbetrieb RBS)
6,S2 (BLS AG (bls))
4,EC (Schweizerische Bundesbahnen SBB)
4,12 (Städtische Verkehrsbetriebe Bern)
3,10 (Städtische Verkehrsbetriebe Bern)
1,RE1 (BLS AG (bls))
1,RE7 (BLS AG (bls))
1,IR35 (Schweizerische Bundesbahnen SBB)
1,9 (Städtische Verkehrsbetriebe Bern)
0,IC61 (Schweizerische Bundesbahnen SBB)
0,IC1 (Schweizerische Bundesbahnen SBB)
0,IR16 (Schweizerische Bundesbahnen SBB)
0,S6 (BLS AG (bls))
0,10 (Verkehrsbetriebe Zürich INFO+)
0,50 (Basler Verkehrsbetriebe)
