Fahrten,Namen
2442,S7 (Regionalverkehr Bern-Solothurn)
306,6 (Städtische Verkehrsbetriebe Bern)
206,44 (Autobusbetrieb RBS)
139,795 (PostAuto AG)
127,40 (Autobusbetrieb RBS)
81,794 (PostAuto AG)
78,791 (PostAuto AG)
70,S8 (Regionalverkehr Bern-Solothurn)
68,S2 (BLS AG (bls))
65,781 (PostAuto AG)
48,S4 (BLS AG (bls))
47,10 (Städtische Verkehrsbetriebe Bern)
42,S42 (BLS AG (bls))
41,8 (Städtische Verkehrsbetriebe Bern)
41,9 (Städtische Verkehrsbetriebe Bern)
40,S3 (BLS AG (bls))
39,20 (Städtische Verkehrsbetriebe Bern)
36,S1 (BLS AG (bls))
29,451 (PostAuto AG)
28,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
