Fahrten,Namen
87,S8 (Regionalverkehr Bern-Solothurn)
48,IR65 (BLS AG (bls))
34,34 (Autobusbetrieb RBS)
34,36 (Autobusbetrieb RBS)
17,S2 (BLS AG (bls))
7,6 (Verkehrsbetriebe Biel)
7,8 (Städtische Verkehrsbetriebe Bern)
5,RE2 (Transports publics fribourgeois)
4,6 (Städtische Verkehrsbetriebe Bern)
3,87 (PostAuto AG)
3,10 (Städtische Verkehrsbetriebe Bern)
2,RE5 (Regionalverkehr Bern-Solothurn)
2,IC51 (Schweizerische Bundesbahnen SBB)
2,8 (Verkehrsbetriebe Biel)
2,1 (Verkehrsbetriebe Biel)
1,S20 (Schweizerische Bundesbahnen SBB)
1,S37 (Aare Seeland mobil (bti))
1,2 (Verkehrsbetriebe Biel)
1,R41 (Schweizerische Bundesbahnen SBB)
0,S41 (BLS AG (bls))
