Fahrten,Namen
1940,S7 (Regionalverkehr Bern-Solothurn)
307,6 (Städtische Verkehrsbetriebe Bern)
142,44 (Autobusbetrieb RBS)
141,795 (PostAuto AG)
102,40 (Autobusbetrieb RBS)
87,794 (PostAuto AG)
81,791 (PostAuto AG)
67,S2 (BLS AG (bls))
65,781 (PostAuto AG)
52,S8 (Regionalverkehr Bern-Solothurn)
46,S42 (BLS AG (bls))
37,S1 (BLS AG (bls))
36,S3 (BLS AG (bls))
36,S4 (BLS AG (bls))
32,10 (Städtische Verkehrsbetriebe Bern)
31,8 (Städtische Verkehrsbetriebe Bern)
31,9 (Städtische Verkehrsbetriebe Bern)
27,168 (Städtische Verkehrsbetriebe Bern)
25,792 (PostAuto AG)
24,451 (PostAuto AG)
