Fahrten,Namen
675,S8 (Regionalverkehr Bern-Solothurn)
88,10 (Städtische Verkehrsbetriebe Bern)
39,8 (Städtische Verkehrsbetriebe Bern)
36,871 (Autobusbetrieb RBS)
32,S2 (BLS AG (bls))
29,20 (Städtische Verkehrsbetriebe Bern)
27,6 (Städtische Verkehrsbetriebe Bern)
26,12 (Städtische Verkehrsbetriebe Bern)
15,S4 (BLS AG (bls))
14,EC (Schweizerische Bundesbahnen SBB)
9,7 (Städtische Verkehrsbetriebe Bern)
8,S44 (BLS AG (bls))
8,104 (PostAuto AG)
7,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
7,IR35 (Schweizerische Bundesbahnen SBB)
6,107 (PostAuto AG)
6,9 (Städtische Verkehrsbetriebe Bern)
5,21 (Städtische Verkehrsbetriebe Bern)
5,RE1 (BLS AG (bls))
5,RE7 (BLS AG (bls))
