Fahrten,Namen
519,Bern - Jegenstorf
31,Jegenstorf - Köniz
26,Jegenstorf - Ostermundigen
19,Jegenstorf - Muri bei Bern
12,Jegenstorf - Thun
10,Bern - Fraubrunnen
5,Bremgarten bei Bern - Jegenstorf
5,Jegenstorf - Münsingen
4,Bern - Messen
3,Herzogenbuchsee - Jegenstorf
3,Aarberg - Jegenstorf
3,Jegenstorf - Langenthal
3,Burgdorf - Fraubrunnen
2,Jegenstorf - Wohlen bei Bern
2,Jegenstorf - Studen (BE)
2,Jegenstorf - Kirchlindach
2,Jegenstorf - Wünnewil-Flamatt
1,Jegenstorf - Steffisburg
1,Jegenstorf - Langnau im Emmental
1,Jegenstorf - Luzern
