Fahrten,Namen
1362,S7 (Regionalverkehr Bern-Solothurn)
306,6 (Städtische Verkehrsbetriebe Bern)
141,795 (PostAuto AG)
90,44 (Autobusbetrieb RBS)
87,794 (PostAuto AG)
81,791 (PostAuto AG)
66,S2 (BLS AG (bls))
58,40 (Autobusbetrieb RBS)
52,781 (PostAuto AG)
46,S42 (BLS AG (bls))
36,S1 (BLS AG (bls))
36,S8 (Regionalverkehr Bern-Solothurn)
27,168 (Städtische Verkehrsbetriebe Bern)
25,792 (PostAuto AG)
23,9 (Städtische Verkehrsbetriebe Bern)
19,8 (Städtische Verkehrsbetriebe Bern)
19,S41 (BLS AG (bls))
17,451 (PostAuto AG)
17,S4 (BLS AG (bls))
16,793 (PostAuto AG)
