Fahrten,Namen
260,S7 (Regionalverkehr Bern-Solothurn)
14,S8 (Regionalverkehr Bern-Solothurn)
11,791 (PostAuto AG)
9,12 (Städtische Verkehrsbetriebe Bern)
8,794 (PostAuto AG)
7,S2 (BLS AG (bls))
6,36 (Autobusbetrieb RBS)
4,20 (Städtische Verkehrsbetriebe Bern)
3,8 (Städtische Verkehrsbetriebe Bern)
3,6 (Städtische Verkehrsbetriebe Bern)
2,S1 (BLS AG (bls))
2,40 (Autobusbetrieb RBS)
2,S9 (Regionalverkehr Bern-Solothurn)
2,S6 (BLS AG (bls))
1,RE5 (Regionalverkehr Bern-Solothurn)
1,34 (Autobusbetrieb RBS)
1,IC1 (Schweizerische Bundesbahnen SBB)
1,IC8 (Schweizerische Bundesbahnen SBB)
1,S31 (BLS AG (bls))
1,S51 (BLS AG (bls))
