Fahrten,Namen
236,S8 (Regionalverkehr Bern-Solothurn)
15,7 (Städtische Verkehrsbetriebe Bern)
15,12 (Städtische Verkehrsbetriebe Bern)
13,17 (Städtische Verkehrsbetriebe Bern)
10,8 (Städtische Verkehrsbetriebe Bern)
9,RE1 (BLS AG (bls))
6,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
5,IC61 (Schweizerische Bundesbahnen SBB)
4,10 (Städtische Verkehrsbetriebe Bern)
3,S1 (BLS AG (bls))
2,IR17 (BLS AG (bls))
2,S2 (BLS AG (bls))
2,9 (Städtische Verkehrsbetriebe Bern)
2,EC (Schweizerische Bundesbahnen SBB)
2,IC1 (Schweizerische Bundesbahnen SBB)
1,2 (STI Bus AG)
1,5 (STI Bus AG)
1,S5 (BLS AG (bls))
1,S51 (BLS AG (bls))
1,RE3 (Transports publics fribourgeois)
