Fahrten,Namen
520,Bern - Mattstetten
29,Mattstetten - Thun
29,Mattstetten - Ostermundigen
19,Köniz - Mattstetten
14,Mattstetten - Münsingen
8,Mattstetten - Steffisburg
7,Herzogenbuchsee - Mattstetten
6,Mattstetten - Wohlen bei Bern
6,Mattstetten - Wichtrach
5,Mattstetten - Worb
4,Düdingen - Mattstetten
4,Laupen - Mattstetten
4,Grosshöchstetten - Mattstetten
4,Langnau im Emmental - Mattstetten
4,Mattstetten - Olten
4,Kerzers - Mattstetten
4,Hilterfingen - Mattstetten
4,Mattstetten - Seedorf (BE)
3,Mattstetten - Wünnewil-Flamatt
3,Kirchberg (BE) - Mattstetten
