Fahrten,Namen
13922,S7 (Regionalverkehr Bern-Solothurn)
908,8 (Städtische Verkehrsbetriebe Bern)
806,10 (Städtische Verkehrsbetriebe Bern)
442,S8 (Regionalverkehr Bern-Solothurn)
408,12 (Städtische Verkehrsbetriebe Bern)
398,451 (PostAuto AG)
389,7 (Städtische Verkehrsbetriebe Bern)
349,9 (Städtische Verkehrsbetriebe Bern)
324,S2 (BLS AG (bls))
309,20 (Städtische Verkehrsbetriebe Bern)
281,46 (Autobusbetrieb RBS)
269,6 (Städtische Verkehrsbetriebe Bern)
247,40 (Autobusbetrieb RBS)
226,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
211,RE1 (BLS AG (bls))
181,41 (Autobusbetrieb RBS)
175,781 (PostAuto AG)
168,47 (Autobusbetrieb RBS)
161,21 (Städtische Verkehrsbetriebe Bern)
143,IR65 (BLS AG (bls))
