Fahrten,Namen
4004,S7 (Regionalverkehr Bern-Solothurn)
459,44 (Autobusbetrieb RBS)
256,781 (PostAuto AG)
221,40 (Autobusbetrieb RBS)
166,6 (Städtische Verkehrsbetriebe Bern)
128,S8 (Regionalverkehr Bern-Solothurn)
124,10 (Städtische Verkehrsbetriebe Bern)
121,795 (PostAuto AG)
109,8 (Städtische Verkehrsbetriebe Bern)
92,20 (Städtische Verkehrsbetriebe Bern)
88,7 (Städtische Verkehrsbetriebe Bern)
70,S4 (BLS AG (bls))
65,9 (Städtische Verkehrsbetriebe Bern)
60,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
59,36 (Autobusbetrieb RBS)
58,12 (Städtische Verkehrsbetriebe Bern)
52,S3 (BLS AG (bls))
44,451 (PostAuto AG)
43,791 (PostAuto AG)
37,S52 (BLS AG (bls))
