Fahrten,Namen
4617,S7 (Regionalverkehr Bern-Solothurn)
506,44 (Autobusbetrieb RBS)
277,40 (Autobusbetrieb RBS)
252,781 (PostAuto AG)
167,S8 (Regionalverkehr Bern-Solothurn)
133,10 (Städtische Verkehrsbetriebe Bern)
125,8 (Städtische Verkehrsbetriebe Bern)
118,795 (PostAuto AG)
115,7 (Städtische Verkehrsbetriebe Bern)
112,6 (Städtische Verkehrsbetriebe Bern)
107,20 (Städtische Verkehrsbetriebe Bern)
89,36 (Autobusbetrieb RBS)
77,S4 (BLS AG (bls))
76,12 (Städtische Verkehrsbetriebe Bern)
74,9 (Städtische Verkehrsbetriebe Bern)
70,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
57,S3 (BLS AG (bls))
50,451 (PostAuto AG)
43,S52 (BLS AG (bls))
41,RE1 (BLS AG (bls))
