Fahrten,Namen
784,S7 (Regionalverkehr Bern-Solothurn)
36,S8 (Regionalverkehr Bern-Solothurn)
15,12 (Städtische Verkehrsbetriebe Bern)
14,36 (Autobusbetrieb RBS)
11,791 (PostAuto AG)
11,8 (Städtische Verkehrsbetriebe Bern)
11,40 (Autobusbetrieb RBS)
10,EC (Schweizerische Bundesbahnen SBB)
9,S31 (BLS AG (bls))
9,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
8,10 (Städtische Verkehrsbetriebe Bern)
7,S9 (Regionalverkehr Bern-Solothurn)
7,RE1 (BLS AG (bls))
6,7 (Städtische Verkehrsbetriebe Bern)
6,20 (Städtische Verkehrsbetriebe Bern)
6,IR65 (BLS AG (bls))
5,S2 (BLS AG (bls))
4,S6 (BLS AG (bls))
4,RE5 (Regionalverkehr Bern-Solothurn)
4,781 (PostAuto AG)
