Fahrten,Namen
2631,S8 (Regionalverkehr Bern-Solothurn)
354,38 (Autobusbetrieb RBS)
334,10 (Städtische Verkehrsbetriebe Bern)
149,8 (Städtische Verkehrsbetriebe Bern)
124,S2 (BLS AG (bls))
101,12 (Städtische Verkehrsbetriebe Bern)
96,6 (Städtische Verkehrsbetriebe Bern)
81,EC (Schweizerische Bundesbahnen SBB)
76,20 (Städtische Verkehrsbetriebe Bern)
69,IR65 (BLS AG (bls))
53,465 (Busland AG)
46,S3 (BLS AG (bls))
45,IR35 (Schweizerische Bundesbahnen SBB)
45,S4 (BLS AG (bls))
38,104 (PostAuto AG)
36,871 (Autobusbetrieb RBS)
32,RE1 (BLS AG (bls))
27,100 (PostAuto AG)
25,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
23,21 (Städtische Verkehrsbetriebe Bern)
