Fahrten,Namen
786,Bern - Mattstetten
519,Bern - Jegenstorf
382,Bern - Moosseedorf
76,Bern - Fraubrunnen
63,Mattstetten - Ostermundigen
55,Köniz - Mattstetten
36,Biel/Bienne - Mattstetten
33,Mattstetten - Thun
31,Jegenstorf - Köniz
30,Mattstetten - Muri bei Bern
29,Moosseedorf - Ostermundigen
26,Jegenstorf - Ostermundigen
24,Bern - Bäriswil
22,Köniz - Moosseedorf
21,Bern - Lyssach
19,Jegenstorf - Muri bei Bern
17,Moosseedorf - Muri bei Bern
16,Mattstetten - Münsingen
13,Mattstetten - Wohlen bei Bern
13,Burgdorf - Moosseedorf
