Fahrten,Namen
280,S8 (Regionalverkehr Bern-Solothurn)
82,S3 (BLS AG (bls))
54,S31 (BLS AG (bls))
27,RE5 (Regionalverkehr Bern-Solothurn)
24,36 (Autobusbetrieb RBS)
21,S11 (BLS AG (bls))
21,41 (Autobusbetrieb RBS)
15,898 (Autobusbetrieb RBS)
15,107 (PostAuto AG)
9,7 (Städtische Verkehrsbetriebe Bern)
8,S4 (BLS AG (bls))
8,RE1 (BLS AG (bls))
6,5 (Verkehrsbetriebe Biel)
6,2 (Verkehrsbetriebe Biel)
3,4 (Verkehrsbetriebe Biel)
3,S20 (Schweizerische Bundesbahnen SBB)
3,S6 (BLS AG (bls))
2,IC61 (Schweizerische Bundesbahnen SBB)
2,7 (Busbetrieb Solothurn und Umgebung)
2,1 (Verkehrsbetriebe Biel)
