Fahrten,Namen
3175,S8 (Regionalverkehr Bern-Solothurn)
285,10 (Städtische Verkehrsbetriebe Bern)
250,36 (Autobusbetrieb RBS)
194,7 (Städtische Verkehrsbetriebe Bern)
120,S5 (BLS AG (bls))
104,12 (Städtische Verkehrsbetriebe Bern)
89,IR17 (BLS AG (bls))
85,8 (Städtische Verkehrsbetriebe Bern)
78,IC6 (Schweizerische Bundesbahnen SBB)
78,6 (Städtische Verkehrsbetriebe Bern)
78,IR65 (BLS AG (bls))
61,17 (Städtische Verkehrsbetriebe Bern)
54,38 (Autobusbetrieb RBS)
48,S6 (BLS AG (bls))
46,RE1 (BLS AG (bls))
41,9 (Städtische Verkehrsbetriebe Bern)
40,RE5 (Regionalverkehr Bern-Solothurn)
39,102 (PostAuto AG)
38,IC61 (Schweizerische Bundesbahnen SBB)
35,S7 (Regionalverkehr Bern-Solothurn)
